Date, Close/Last, Volume, Open, High, Low
06/12/2020, $935.28, 16763370, $980, $987.98, $912.6
06/11/2020, $972.84, 15916480, $990.2, $1018.9599, $972
06/10/2020, $1025.05, 18563410, $991.88, $1027.48, $982.5
06/09/2020, $940.67, 11388150, $940.01, $954.4399, $923.931
06/08/2020, $949.92, 14174730, $919, $950, $909.16
06/05/2020, $885.66, 7811917, $877.84, $886.52, $866.2
06/04/2020, $864.38, 8887713, $889.88, $895.75, $858.44
06/03/2020, $882.96, 7949469, $888.12, $897.94, $880.1
06/02/2020, $881.56, 13565600, $894.7, $908.66, $871
06/01/2020, $898.1, 15085300, $858, $899, $854.1
05/29/2020, $835, 11812490, $808.75, $835, $804.21
05/28/2020, $805.81, 7275774, $813.51, $824.75, $801.69
05/27/2020, $820.23, 11549530, $820.86, $827.71, $785
05/26/2020, $818.87, 8089736, $834.5, $834.6, $815.705
05/22/2020, $816.88, 9987475, $822.174, $831.78, $812
05/21/2020, $827.6, 12254580, $816, $832.5, $796
05/20/2020, $815.56, 7309271, $820.5, $826, $811.8
05/19/2020, $808.01, 9636522, $815.17, $822.07, $806.08
05/18/2020, $813.63, 11698100, $827.78, $834.7201, $803.88
05/15/2020, $799.17, 10518430, $790.35, $805.0486, $786.552
