country_region,state,county,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United States,Massachusetts,Suffolk County,2/15/20,6,-2,6,1,-1,0
United States,Massachusetts,Suffolk County,2/16/20,12,-4,13,-2,1,0
United States,Massachusetts,Suffolk County,2/17/20,3,-4,16,-27,-44,10
United States,Massachusetts,Suffolk County,2/18/20,-7,-10,-17,-3,-8,3
United States,Massachusetts,Suffolk County,2/19/20,0,-1,-2,-3,-7,2
United States,Massachusetts,Suffolk County,2/20/20,0,-2,-2,-2,-6,2
United States,Massachusetts,Suffolk County,2/21/20,-2,-7,-9,-4,-4,3
United States,Massachusetts,Suffolk County,2/22/20,10,4,41,4,4,-1
United States,Massachusetts,Suffolk County,2/23/20,9,2,61,4,5,-1
United States,Massachusetts,Suffolk County,2/24/20,3,2,50,2,4,-1
United States,Massachusetts,Suffolk County,2/25/20,1,-2,13,2,3,0
United States,Massachusetts,Suffolk County,2/26/20,2,1,4,6,2,0
United States,Massachusetts,Suffolk County,2/27/20,7,1,5,7,1,0
United States,Massachusetts,Suffolk County,2/28/20,8,3,3,8,4,0
United States,Massachusetts,Suffolk County,2/29/20,17,5,66,13,2,-1
United States,Massachusetts,Suffolk County,3/1/20,11,1,5,12,3,-1
United States,Massachusetts,Suffolk County,3/2/20,4,6,21,3,2,-1
United States,Massachusetts,Suffolk County,3/3/20,10,7,41,1,0,-1
United States,Massachusetts,Suffolk County,3/4/20,0,2,1,-2,0,0
United States,Massachusetts,Suffolk County,3/5/20,4,9,25,-1,1,-1
United States,Massachusetts,Suffolk County,3/6/20,0,1,1,-3,2,1
United States,Massachusetts,Suffolk County,3/7/20,7,6,21,-3,1,-1
United States,Massachusetts,Suffolk County,3/8/20,5,2,34,-4,2,-1
United States,Massachusetts,Suffolk County,3/9/20,8,9,98,-5,0,0
United States,Massachusetts,Suffolk County,3/10/20,0,7,26,-10,-2,1
United States,Massachusetts,Suffolk County,3/11/20,-2,15,13,-13,-6,2
United States,Massachusetts,Suffolk County,3/12/20,-8,28,1,-21,-10,5
United States,Massachusetts,Suffolk County,3/13/20,-20,24,-23,-30,-17,9
United States,Massachusetts,Suffolk County,3/14/20,-19,17,19,-25,-8,4
United States,Massachusetts,Suffolk County,3/15/20,-26,2,3,-31,-12,6
United States,Massachusetts,Suffolk County,3/16/20,-27,9,-18,-46,-34,14
United States,Massachusetts,Suffolk County,3/17/20,-45,-6,-33,-55,-48,21
United States,Massachusetts,Suffolk County,3/18/20,-46,-5,4,-58,-50,21
United States,Massachusetts,Suffolk County,3/19/20,-55,-13,-52,-65,-54,25
United States,Massachusetts,Suffolk County,3/20/20,-51,2,-11,-64,-52,24
United States,Massachusetts,Suffolk County,3/21/20,-55,-5,2,-60,-40,14
United States,Massachusetts,Suffolk County,3/22/20,-60,-23,-26,-67,-42,14
United States,Massachusetts,Suffolk County,3/23/20,-55,-15,-51,-73,-58,25
United States,Massachusetts,Suffolk County,3/24/20,-62,-24,-31,-75,-63,28
United States,Massachusetts,Suffolk County,3/25/20,-66,-29,-47,-77,-65,30
United States,Massachusetts,Suffolk County,3/26/20,-63,-22,-14,-76,-65,29
United States,Massachusetts,Suffolk County,3/27/20,-63,-23,-9,-76,-63,30
United States,Massachusetts,Suffolk County,3/28/20,-65,-25,-10,-72,-50,18
United States,Massachusetts,Suffolk County,3/29/20,-71,-41,-68,-79,-51,18
United States,Massachusetts,Suffolk County,3/30/20,-63,-29,-53,-79,-65,29
United States,Massachusetts,Suffolk County,3/31/20,-62,-26,-33,-78,-66,29
United States,Massachusetts,Suffolk County,4/1/20,-63,-21,-41,-78,-67,29
United States,Massachusetts,Suffolk County,4/2/20,-66,-24,-55,-81,-68,31
United States,Massachusetts,Suffolk County,4/3/20,-69,-29,-71,-82,-67,34
United States,Massachusetts,Suffolk County,4/4/20,-66,-16,-24,-74,-53,19
United States,Massachusetts,Suffolk County,4/5/20,-67,-29,-28,-78,-52,17
United States,Massachusetts,Suffolk County,4/6/20,-62,-23,-14,-79,-67,28
United States,Massachusetts,Suffolk County,4/7/20,-63,-26,-20,-80,-69,30
United States,Massachusetts,Suffolk County,4/8/20,-67,-28,-47,-81,-69,31
United States,Massachusetts,Suffolk County,4/9/20,-70,-34,-64,-83,-70,33
United States,Massachusetts,Suffolk County,4/10/20,-69,-26,-58,-81,-69,34
United States,Massachusetts,Suffolk County,4/11/20,-66,-19,-26,-76,-55,20
