date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Maine.1
2/24/2020,1,2,0,2,1,1,1,3,-1,1,-1,1,3,3,2,3,3,2,-2,-5,3,-4,1,2,0,6,2,2,1,0,2,2,-4,-2,2,3,2,2,2,-2,1,2,2,2,3,-2,2,-1,2,3,3,null
2/25/2020,1,2,0,2,2,2,2,3,0,1,0,1,3,3,2,3,3,2,-7,-3,3,-2,3,2,-1,6,2,2,0,-1,2,2,-2,-2,3,3,2,2,3,0,1,2,2,3,3,-3,2,0,2,3,2,null
2/26/2020,1,3,1,2,2,3,2,3,0,1,0,1,3,2,2,3,3,2,-9,-1,3,-1,1,2,-1,6,2,2,0,-3,2,2,0,-2,3,2,2,2,3,1,1,2,2,3,3,-3,2,1,2,3,2,null
2/27/2020,1,3,1,2,2,3,2,3,1,1,1,1,3,2,2,3,4,2,-9,0,3,1,0,2,0,6,2,2,0,-5,2,2,1,0,3,2,2,2,3,2,2,2,2,3,3,-4,2,1,2,3,3,null
2/28/2020,1,3,1,2,2,3,3,3,2,1,2,1,3,2,1,4,4,2,-9,1,3,3,0,2,0,6,2,2,1,-6,2,2,3,3,3,1,2,2,3,3,2,1,2,3,3,-5,3,2,1,3,2,null
2/29/2020,1,3,2,2,3,3,3,3,2,1,2,1,3,2,1,4,4,2,-9,2,3,3,0,3,0,6,2,3,1,-6,2,3,3,3,3,1,3,2,2,3,2,1,2,2,3,-6,3,2,1,3,2,null
3/1/2020,1,4,3,3,2,3,3,3,2,2,2,1,4,2,1,4,4,2,-8,2,3,3,-1,3,0,6,2,3,1,-7,2,3,3,3,3,1,3,3,2,3,2,1,3,3,3,-6,3,2,1,3,2,null
3/2/2020,2,4,3,3,2,3,3,3,2,1,2,1,4,2,1,4,4,2,-6,2,3,3,-1,3,1,6,2,3,1,-5,2,3,3,3,3,1,3,2,2,3,2,1,3,3,3,-5,3,2,1,3,2,null
3/3/2020,2,4,3,3,2,4,3,3,2,1,2,1,4,2,1,4,5,2,0,2,3,2,-1,3,2,6,2,3,1,-3,3,3,3,2,3,1,3,2,2,3,2,2,1,3,2,-6,2,2,1,3,3,null
3/4/2020,2,4,3,3,2,4,3,3,2,1,2,1,4,2,2,4,5,2,1,1,3,2,1,3,2,7,2,3,1,-1,3,3,3,2,3,1,3,2,2,3,2,2,1,2,2,-4,2,1,1,3,3,null
